[2025-11-28 09:46:21] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:46:22] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 09:46:22] [INFO] 📍 Запрос от 127.0.0.1: GET /teachers
[2025-11-28 09:46:22] [INFO] ✅ Успешный ответ отправлен клиенту 127.0.0.1
[2025-11-28 09:49:49] [INFO] 🔧 Initializing ApiService...
[2025-11-28 09:49:50] [INFO] 🌐 Сервер будет слушать на всех интерфейсах
[2025-11-28 09:49:50] [INFO] 🚀 Сервер запущен на 0.0.0.0:5000
[2025-11-28 10:03:54] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:03:54] [INFO] 📍 Запрос от 127.0.0.1: GET /groups
[2025-11-28 10:03:54] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:03:54] [INFO] 📍 Запрос от 127.0.0.1: GET /students
[2025-11-28 10:03:54] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:03:54] [INFO] 📍 Запрос от 127.0.0.1: GET /students
[2025-11-28 10:03:56] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:03:56] [INFO] 📍 Запрос от 127.0.0.1: GET /teachers
[2025-11-28 10:03:56] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:03:56] [INFO] 📍 Запрос от 127.0.0.1: GET /teachers
[2025-11-28 10:03:58] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:03:58] [INFO] 📍 Запрос от 127.0.0.1: GET /teachers
[2025-11-28 10:03:58] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:03:58] [INFO] 📍 Запрос от 127.0.0.1: GET /groups
[2025-11-28 10:03:58] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:03:58] [INFO] 📍 Запрос от 127.0.0.1: GET /groups
[2025-11-28 10:03:59] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:03:59] [INFO] 📍 Запрос от 127.0.0.1: GET /students
[2025-11-28 10:03:59] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:03:59] [INFO] 📍 Запрос от 127.0.0.1: GET /events
[2025-11-28 10:03:59] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:03:59] [INFO] 📍 Запрос от 127.0.0.1: GET /portfolio
[2025-11-28 10:04:06] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:04:06] [INFO] 📍 Запрос от 127.0.0.1: GET /event-categories
[2025-11-28 10:04:06] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:04:06] [INFO] 📍 Запрос от 127.0.0.1: GET /events
[2025-11-28 10:04:07] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
